supplier_id,company_name,region,industry,annual_revenue,annual_spend,avg_payment_delay_days,contract_value,contract_duration_months,past_disputes,delivery_score,financial_stability_index,relationship_years,contract_criticality,credit_score,created_ts,txn_count,avg_txn_amount,avg_delay,late_ratio,dispute_rate,avg_delivery_quality,contract_text,clause_risk_score,risk_score,risk_label
S_00001,"Rodriguez, Figueroa and Sanchez",Asia-Pacific,Logistics,983912,503374,13,1429141,53,8,55,0.22,9,Medium,577,2025-11-01 22:08:45.565280+00:00,0.0,0.0,13.0,0.0,0.0,55.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,47.47,0.714,high
S_00002,Doyle Ltd,Europe,Biotech,299957,210272,71,426992,51,10,94,0.27,8,Medium,594,2025-11-01 22:08:45.569198+00:00,0.0,0.0,71.0,0.0,0.0,94.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,20.41,0.857,high
S_00003,"Mcclain, Miller and Henderson",North America,Logistics,3818238,2860126,43,592738,15,3,98,0.67,5,High,734,2025-11-01 22:08:45.569832+00:00,0.0,0.0,43.0,0.0,0.0,98.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,36.31,0.0,low
S_00004,Davis and Sons,Asia-Pacific,Biotech,3237061,1722959,5,1540358,35,8,57,0.28,6,High,598,2025-11-01 22:08:45.570067+00:00,0.0,0.0,5.0,0.0,0.0,57.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,58.38,0.714,high
S_00005,"Guzman, Hoffman and Baldwin",Asia-Pacific,Biotech,2509357,1245003,8,106100,48,3,99,0.86,4,Low,801,2025-11-01 22:08:45.570666+00:00,0.0,0.0,8.0,0.0,0.0,99.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,22.65,0.0,low
S_00006,"Gardner, Robinson and Lawrence",LATAM,IT Services,2002791,1255159,46,351110,29,5,63,0.89,10,High,811,2025-11-01 22:08:45.571200+00:00,0.0,0.0,46.0,0.0,0.0,63.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,33.11,0.429,medium
S_00007,Blake and Sons,Europe,Biotech,648967,496176,20,979429,30,4,90,0.69,8,High,741,2025-11-01 22:08:45.571415+00:00,0.0,0.0,20.0,0.0,0.0,90.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,45.54,0.0,low
S_00008,"Henderson, Ramirez and Lewis",North America,Logistics,2770280,2246423,40,851303,23,1,63,0.87,9,Low,804,2025-11-01 22:08:45.571950+00:00,0.0,0.0,40.0,0.0,0.0,63.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,44.7,0.143,low
S_00009,Garcia-James,LATAM,Facilities,2689709,2265653,82,972282,15,4,58,0.37,3,Medium,629,2025-11-01 22:08:45.572302+00:00,0.0,0.0,82.0,0.0,0.0,58.0,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,33.16,0.714,high
S_00010,Abbott-Munoz,LATAM,Biotech,4571269,2741391,28,300102,38,7,55,0.41,0,Low,643,2025-11-01 22:08:45.572652+00:00,0.0,0.0,28.0,0.0,0.0,55.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,69.51,0.857,high
