supplier_id,company_name,region,industry,annual_revenue,annual_spend,avg_payment_delay_days,contract_value,contract_duration_months,past_disputes,delivery_score,financial_stability_index,relationship_years,contract_criticality,credit_score,created_ts
S_00001,"Rodriguez, Figueroa and Sanchez",Asia-Pacific,Logistics,983912,503374,13,1429141,53,8,55,0.22,9,Medium,577,2025-11-02 09:15:41.508652+00:00
S_00002,Doyle Ltd,Europe,Biotech,299957,210272,71,426992,51,10,94,0.27,8,Medium,594,2025-11-02 09:15:41.510142+00:00
S_00003,"Mcclain, Miller and Henderson",North America,Logistics,3818238,2860126,43,592738,15,3,98,0.67,5,High,734,2025-11-02 09:15:41.511031+00:00
S_00004,Davis and Sons,Asia-Pacific,Biotech,3237061,1722959,5,1540358,35,8,57,0.28,6,High,598,2025-11-02 09:15:41.511388+00:00
S_00005,"Guzman, Hoffman and Baldwin",Asia-Pacific,Biotech,2509357,1245003,8,106100,48,3,99,0.86,4,Low,801,2025-11-02 09:15:41.512218+00:00
S_00006,"Gardner, Robinson and Lawrence",LATAM,IT Services,2002791,1255159,46,351110,29,5,63,0.89,10,High,811,2025-11-02 09:15:41.513590+00:00
S_00007,Blake and Sons,Europe,Biotech,648967,496176,20,979429,30,4,90,0.69,8,High,741,2025-11-02 09:15:41.514379+00:00
S_00008,"Henderson, Ramirez and Lewis",North America,Logistics,2770280,2246423,40,851303,23,1,63,0.87,9,Low,804,2025-11-02 09:15:41.515545+00:00
S_00009,Garcia-James,LATAM,Facilities,2689709,2265653,82,972282,15,4,58,0.37,3,Medium,629,2025-11-02 09:15:41.516160+00:00
S_00010,Abbott-Munoz,LATAM,Biotech,4571269,2741391,28,300102,38,7,55,0.41,0,Low,643,2025-11-02 09:15:41.516764+00:00
S_00011,Blair PLC,LATAM,Biotech,1332125,575163,48,1259668,35,8,66,0.7,8,Low,745,2025-11-02 09:15:41.517101+00:00
S_00012,Dudley Group,North America,Biotech,146309,113453,82,723399,13,4,77,0.74,2,Medium,759,2025-11-02 09:15:41.517435+00:00
S_00013,Arnold Ltd,Europe,Biotech,2259467,1934813,80,635884,59,10,82,0.98,9,High,843,2025-11-02 09:15:41.517799+00:00
S_00014,"Mcclure, Ward and Lee",North America,Biotech,3186616,1791126,2,244603,29,12,69,0.81,3,High,783,2025-11-02 09:15:41.518622+00:00
S_00015,Williams and Sons,North America,Facilities,4809334,3885997,68,1616071,14,2,92,0.96,7,Low,836,2025-11-02 09:15:41.518956+00:00
S_00016,Galloway-Wyatt,LATAM,Logistics,1435185,1240655,88,431844,51,4,75,0.41,10,Medium,643,2025-11-02 09:15:41.519523+00:00
S_00017,James Group,LATAM,Manufacturing,3725049,1951749,8,719016,7,9,85,0.92,3,Medium,822,2025-11-02 09:15:41.519848+00:00
S_00018,"Flowers, Martin and Kelly",North America,Logistics,110321,47846,4,1812786,27,1,82,0.26,3,High,591,2025-11-02 09:15:41.520660+00:00
S_00019,"Adams, Zuniga and Wong",Europe,Biotech,4121951,2836338,31,1655466,36,12,76,0.37,3,High,629,2025-11-02 09:15:41.521480+00:00
S_00020,"Reid, Ferguson and Sanchez",LATAM,Facilities,3665919,3049745,6,1422147,47,10,56,0.48,0,Medium,668,2025-11-02 09:15:41.522288+00:00
S_00021,Gray-Mayo,North America,Logistics,2896276,1435959,68,950810,14,6,61,0.84,4,Medium,794,2025-11-02 09:15:41.522854+00:00
S_00022,"Watts, Robinson and Nguyen",North America,Manufacturing,682374,495452,69,1763276,6,1,98,0.55,3,High,692,2025-11-02 09:15:41.523807+00:00
S_00023,Perez Inc,LATAM,Manufacturing,4123853,1989010,0,828773,22,12,100,0.59,7,High,706,2025-11-02 09:15:41.524169+00:00
S_00024,Morales-Jones,LATAM,Logistics,4712122,2332259,27,132648,43,11,84,0.73,0,Medium,755,2025-11-02 09:15:41.524751+00:00
S_00025,"Walter, Edwards and Rios",LATAM,Biotech,529537,455239,67,340160,9,8,55,0.24,2,High,584,2025-11-02 09:15:41.525562+00:00
S_00026,Wilkerson-Day,Europe,Facilities,620097,285209,72,526351,43,9,52,0.74,9,High,759,2025-11-02 09:15:41.526150+00:00
S_00027,Baker and Sons,Asia-Pacific,IT Services,4946198,2483632,40,510560,22,6,58,0.65,10,Medium,727,2025-11-02 09:15:41.526497+00:00
S_00028,"Hoffman, Baker and Richards",North America,Manufacturing,3885477,2444519,72,219675,10,8,63,0.45,8,High,657,2025-11-02 09:15:41.527303+00:00
S_00029,"Ross, Robinson and Bright",Europe,IT Services,2977698,1615382,56,1758489,40,11,69,0.9,9,Low,815,2025-11-02 09:15:41.528109+00:00
S_00030,"Snyder, Campos and Callahan",Asia-Pacific,Manufacturing,4487076,3901355,17,564625,13,1,97,0.21,8,High,573,2025-11-02 09:15:41.528925+00:00
S_00031,Burton Ltd,Asia-Pacific,Logistics,2413542,1795068,33,1069919,37,4,53,0.68,1,Medium,738,2025-11-02 09:15:41.529253+00:00
S_00032,Carlson-Cruz,Asia-Pacific,Logistics,2370961,1703669,33,348861,53,7,85,0.24,6,Medium,584,2025-11-02 09:15:41.530392+00:00
